"Source","Targtet","Value"
1,0,1
2,3,1
4,3,1
0,3,1
4,0,26
1,3,1
5,1,1
5,3,1
1,6,8
6,7,2
1,7,1
9,8,3
8,10,1
9,10,3
11,0,22
11,4,15
11,12,2
13,0,2
13,4,2
13,11,2
8,1,6
8,6,3
1,10,2
11,10,1
9,11,7
0,10,2
9,0,9
9,14,7
14,0,16
14,10,1
9,4,7
4,15,3
11,15,1
0,15,2
9,15,2
11,14,10
0,16,6
17,16,5
14,16,3
17,0,22
17,14,41
11,18,2
17,18,2
0,18,2
14,18,2
17,11,12
17,19,2
19,0,2
19,14,1
17,20,8
11,20,3
0,20,8
14,20,5
17,21,10
21,14,12
4,10,1
22,8,3
17,23,3
17,24,2
23,24,1
11,23,1
23,0,2
11,24,1
0,24,2
17,4,46
4,20,1
21,16,1
23,16,1
21,0,1
21,23,1
23,14,1
25,26,1
26,20,1
18,20,1
17,26,1
26,11,1
26,14,1
26,18,1
26,0,1
25,11,2
25,14,1
27,0,1
17,27,1
27,24,1
23,20,1
17,9,2
17,15,4
8,28,2
8,11,5
8,0,1
11,28,1
0,28,1
29,0,2
30,0,2
0,31,3
0,32,1
30,29,4
29,31,16
17,29,9
29,32,1
30,31,4
17,30,2
30,32,1
17,31,9
32,31,1
17,32,1
33,8,6
33,28,1
4,31,20
29,4,9
30,4,1
13,14,2
22,1,3
17,13,1
13,9,1
4,14,9
8,34,1
34,1,1
22,34,1
22,6,1
35,15,4
17,35,2
34,11,1
1,14,2
5,7,1
36,35,2
36,15,2
17,36,1
8,14,5
8,38,2
8,39,2
39,38,1
8,29,3
8,31,2
8,30,1
33,29,2
33,31,8
33,30,1
37,11,1
37,4,2
17,37,3
4,2,1
17,10,1
14,40,1
17,40,1
41,40,2
42,40,1
41,14,1
14,42,1
17,41,1
17,42,3
41,42,1
4,43,5
44,43,2
44,4,6
45,43,2
45,46,3
45,4,1
46,43,1
46,4,1
21,47,4
48,21,3
21,49,1
17,47,3
17,48,1
17,49,2
48,47,4
47,14,4
49,47,2
48,14,1
48,49,1
49,14,2
33,4,8
8,4,5
4,38,1
33,38,1
33,11,1
38,31,1
11,31,1
29,38,1
11,29,1
11,38,1
29,14,2
11,39,1
50,14,3
50,46,1
52,51,2
1,51,2
1,52,2
4,51,1
4,52,1
1,4,1
50,4,3
17,51,1
17,52,1
17,1,1
17,50,3
14,51,1
50,51,1
14,52,1
50,52,1
50,1,1
50,29,2
30,53,1
50,31,2
14,31,1
50,8,2
4,54,2
17,54,2
17,8,14
55,4,2
17,55,1
17,33,2
21,4,9
21,8,2
33,21,3
33,14,5
33,56,2
33,57,2
33,58,1
56,14,2
56,57,2
56,58,1
57,14,2
58,14,1
58,57,1
37,14,2
21,37,2
59,31,1
60,4,2
4,61,1
55,1,1
17,60,1
60,29,1
60,31,1
33,62,2
33,0,1
21,31,1
63,8,7
21,62,1
65,64,2
66,65,2
66,64,4
63,67,2
48,64,3
64,47,3
21,64,29
21,67,49
67,64,26
48,67,1
64,4,22
67,4,1
68,69,2
63,68,1
63,69,7
70,4,10
70,64,43
27,70,1
70,26,1
21,70,54
67,68,1
67,69,1
70,67,69
63,4,1
71,72,1
71,73,1
71,64,1
72,73,1
72,64,1
64,73,4
66,67,1
67,74,1
64,74,3
66,74,3
66,21,1
21,74,1
74,73,3
72,74,1
66,73,2
74,75,1
66,72,1
64,75,1
70,77,3
67,77,4
21,78,1
70,79,1
21,77,1
81,80,2
63,80,8
63,81,2
78,67,1
82,64,3
83,73,2
64,79,1
63,84,1
84,80,1
64,31,6
45,80,1
45,63,3
70,85,12
85,67,12
21,85,8
63,85,4
63,70,2
45,85,2
45,21,1
21,63,1
45,70,1
45,67,1
63,64,7
85,64,6
63,86,1
87,21,2
21,26,3
26,64,2
88,26,1
88,21,2
88,70,1
88,67,1
87,64,1
87,26,1
70,57,1
89,70,2
85,57,1
89,85,5
89,57,1
21,57,1
67,57,1
64,57,1
89,21,2
89,67,2
89,64,1
8,64,3
85,73,6
89,73,1
17,63,1
17,64,1
90,91,3
92,90,1
92,91,2
93,92,1
93,90,1
93,91,1
93,94,3
97,92,5
96,95,2
94,91,11
97,98,1
92,98,2
93,97,1
94,96,29
70,96,17
94,70,23
99,70,2
99,96,1
99,94,1
97,100,3
92,100,2
70,101,4
94,101,2
101,96,2
102,96,1
70,91,2
67,91,3
94,67,3
92,96,4
91,103,2
89,91,1
21,91,2
104,91,1
70,103,1
89,103,1
94,103,1
67,103,1
21,103,1
104,103,1
104,70,1
89,94,1
89,104,1
21,94,1
104,94,1
104,67,2
104,21,2
93,70,2
106,97,1
107,91,3
108,103,1
70,92,3
94,92,2
108,109,2
109,105,1
109,91,2
107,109,2
108,105,1
108,91,2
107,108,2
91,105,1
107,105,1
